# BEARINGS

## FROM EA1/AV-009 - Pico Moros (2060 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/SO-009	90.91	-88.27	ALTO DEL HAYEDO, 1719 m. MHz	101.0 km  EA2DNO, EA2DCA
EA2/NV-021	55.77	-122.92	Saioa 1417m MHz	191.78 km  EA2FDI
EA2/VI-006	45.69	-133.81	TOLOÑO 1269 MHz	84.96 km  EA2CON
EA3/BC-004	86.8	-89.68	Gallina Pelada, 2320m MHz	433.52 km  EA3AJ
EA3/GI-011	84.92	-91.45	Tossa d’Alp - 2.536 m MHz	446.43 km  EA3IKB
EA3/GI-016	91.7	-84.36	Matagalls 1697m MHz	489.11 km  EA3HIG
EA3/LL-050	89.49	-87.65	Castell de Sant Alis 1675 m. MHz	353.57 km  EA3HQR, EA3IED
EA3/TA-036	99.63	-77.08	Roca Ferrana (789 m) MHz	419.45 km  EA3GRW
EA4/GU-002	178.56	-1.42	Cerrón 2.196 metros MHz	104.13 km  EA4HGT
EA4/GU-050	160.01	-19.69	Alto Rey MHz	109.32 km  EA4DE
EA4/MD-002	-165.86	13.85	Cabezas de Hierro 2227 Metros MHz	147.84 km  EA4GDK, EA4IKY
EA4/MD-007	-165.09	14.61	Maliciosa 2227 MHz	152.05 km  EA4HOD
EA4/MD-012	-178.39	1.59	Tres Provincias. 2127 metros. MHz	102.89 km  EA4GVU
EA4/MD-029	178.06	-1.91	Porrejon. 1823m MHz	115.69 km  EA4BVW
EA4/MD-056	-165.13	14.54	Cabeza Mediana - 1330m MHz	161.41 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	149.76	-28.63	Oliva, 1152 m MHz	427.45 km  EA5NU
EA5/AT-059	148.16	-30.08	Serra del Flare, 1044 m. MHz	450.41 km  EA5IYL

## FROM EA1/LE-023 - Agujas, Peña (2143 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	177.62	-2.28	Pico Moros 2062m MHz	288.06 km  EA4HIH
