# BEARINGS

## FROM EA1/AT-186 - Los Gayos de la Cuerva (844 msnm) [4 pts] grid: IN63uk
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/SG-010	5.8	-174.19	145.325,144 MHz	11.37 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	180.0	0.0	144.660 MHz	0.0 km  EA4HFO EA4GVU
EA1/SO-003	56.89	-121.59	145.500 MHz	228.29 km  EA2ETB
EA1/SO-026	70.81	-108.09	144.640 MHz	148.96 km  EA7RX
EA1/ZA-002	-48.78	129.66	145.250,144.250 MHz	257.59 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	24.25	-154.7	144.700 MHz	310.46 km  EA2DCA
EA2/HU-093	61.64	-115.31	144.760 MHz	429.09 km  EA4BQG
EA2/NV-003	44.71	-133.19	145.400 MHz	365.71 km  EA2EUS
EA2/NV-032	35.25	-143.29	144.680 MHz	310.56 km  EA2BD
EA2/NV-035	38.83	-139.34	144.720 MHz	355.52 km  EA2FDI
EA2/NV-148	39.82	-138.69	144.575 MHz	286.89 km  EA2CCG
EA2/VI-016	25.64	-153.31	144.580 MHz	295.4 km  EA2DXY
EA2/ZG-001	57.17	-121.3	145.450 MHz	229.57 km  EA2FED EA2FEG
EA3/BC-006	69.99	-106.08	145.350,144.350 MHz	522.11 km  EA3GRW
EA3/GI-014	69.53	-106.25	144.780 MHz	560.43 km  EA3O
EA3/LL-041	68.86	-107.38	144.775 MHz	502.9 km  EA3JHJ
EA3/LL-050	68.39	-108.35	144.700 MHz	438.59 km  EA3HIG
EA3/LL-051	69.2	-107.43	145.250 MHz	451.51 km  EA3IXK
EA3/TA-012	86.63	-90.43	144.680 MHz	380.56 km  EA3HQR EA3IQK
EA4/GU-002	48.05	-131.5	145.550,144.550 MHz	77.46 km  EA4HGT
EA4/GU-014	47.52	-131.97	145.400 MHz	86.96 km  EA4HIH
EA4/GU-050	59.96	-119.32	144.740 MHz	106.68 km  EA4AWF
EA4/GU-062	77.93	-100.85	144.720 MHz	160.5 km  EA4WT
EA4/MD-002	57.5	-122.36	145.525,144.525 MHz	22.75 km  EA4NB
EA4/MD-025	67.98	-111.57	145.225 MHz	61.81 km  EA4IIJ EA4GGU
EA4/MD-052	82.8	-97.11	144.520 MHz	12.17 km  EA4HNZ
EA4/MD-054	61.52	-118.16	144.560 MHz	46.05 km  EA4GUO
EA5/AT-010	126.42	-51.27	144.640 MHz	392.19 km  EA5ITW
EA5/AT-017	121.24	-56.14	144.620 MHz	417.85 km  EA5JTS
EA5/AT-020	120.94	-56.5	144.660 MHz	406.55 km  EA5JYX
EA5/MU-021	139.34	-38.91	144.780 MHz	368.94 km  EA5PY
EA6/MA-077	95.41	-79.88	145.225,144.225 MHz	624.2 km  EA6EE EA6APL EA6LU
EA7/GR-002	170.05	-9.45	145.250,144.250 MHz	409.22 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	174.28	-5.48	145.350,144.350 MHz	341.26 km  EA7OM EA7JV
EA7/MA-013	-175.27	4.48	145.475 MHz	415.14 km  EC7ZT

## FROM EA1/SO-003 - Peña Negrilla (2114 msnm) [10 pts] grid: IN91bs
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-62.27	114.71	144.575 MHz	408.88 km  EA1FNT
EA1/BU-002	-65.45	113.63	145.475 MHz	124.99 km  EB2FDT
EA1/BU-004	-74.0	105.2	145.425 MHz	102.97 km  EB1ESK
EA1/BU-007	-69.43	109.6	145.325 MHz	128.16 km  EA1FWZ
EA1/BU-096	-29.16	150.34	144.620 MHz	124.85 km  EA2CON
EA1/CT-036	-56.78	121.3	144.560 MHz	276.27 km  EA2FHK
EA1/LR-004	-62.92	116.33	Cumbre en duda MHz	104.15 km  EA4IS
EA1/OU-001	-81.34	95.35	145.225,144.225 MHz	411.9 km  EA1FTW
EA1/PO-022	-80.0	95.41	145.350 MHz	569.93 km  EA1FMJ
EA1/SG-001	-120.04	58.58	145.300 MHz	204.19 km  EA4DON EA4DOS
EA1/SG-003	-117.75	60.93	144.540 MHz	188.98 km  EA4IPO
EA1/SG-005	-120.88	57.69	145.275,144.275 MHz	213.68 km  EA9ADD
EA1/SG-010	-119.3	59.19	145.325,144 MHz	221.33 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-121.59	56.89	144.660 MHz	228.29 km  EA4HFO EA4GVU
EA1/SO-003	180.0	0.0	145.500 MHz	0.0 km  EA2ETB
EA1/SO-026	-144.77	34.82	144.640 MHz	91.06 km  EA7RX
EA1/ZA-002	-81.79	95.1	145.250,144.250 MHz	387.59 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	-20.38	159.12	144.700 MHz	170.67 km  EA2DCA
EA2/HU-093	68.51	-109.96	144.760 MHz	202.47 km  EA4BQG
EA2/NV-003	27.57	-151.86	145.400 MHz	150.47 km  EA2EUS
EA2/NV-032	-3.78	176.15	144.680 MHz	129.45 km  EA2BD
EA2/NV-035	13.29	-166.42	144.720 MHz	155.51 km  EA2FDI
EA2/NV-148	-2.95	177.01	144.575 MHz	95.91 km  EA2CCG
EA2/VI-016	-22.58	156.93	144.580 MHz	155.11 km  EA2DXY
EA2/ZG-001	99.41	-80.57	145.450 MHz	1.68 km  EA2FED EA2FEG
EA3/BC-006	81.28	-96.29	145.350,144.350 MHz	304.18 km  EA3GRW
EA3/GI-014	79.45	-97.83	144.780 MHz	341.33 km  EA3O
EA3/LL-041	79.97	-97.77	144.775 MHz	283.54 km  EA3JHJ
EA3/LL-050	81.85	-96.39	144.700 MHz	219.63 km  EA3HIG
EA3/LL-051	82.72	-95.41	145.250 MHz	233.58 km  EA3IXK
EA3/TA-012	119.97	-58.58	144.680 MHz	214.61 km  EA3HQR EA3IQK
EA4/GU-002	-117.1	61.83	145.550,144.550 MHz	152.23 km  EA4HGT
EA4/GU-014	-115.92	63.06	145.400 MHz	143.19 km  EA4HIH
EA4/GU-050	-124.28	54.93	144.740 MHz	121.9 km  EA4AWF
EA4/GU-062	-157.87	21.84	144.720 MHz	97.36 km  EA4WT
EA4/MD-002	-121.66	56.97	145.525,144.525 MHz	205.55 km  EA4NB
EA4/MD-025	-125.65	53.28	145.225 MHz	168.06 km  EA4IIJ EA4GGU
EA4/MD-052	-122.99	55.58	144.520 MHz	217.41 km  EA4HNZ
EA4/MD-054	-122.76	56.04	144.560 MHz	182.43 km  EA4GUO
EA5/AT-010	162.3	-16.85	144.640 MHz	378.48 km  EA5ITW
EA5/AT-017	155.54	-23.29	144.620 MHz	379.57 km  EA5JTS
EA5/AT-020	156.21	-22.68	144.660 MHz	368.92 km  EA5JYX
EA5/MU-021	174.56	-5.16	144.780 MHz	407.5 km  EA5PY
EA6/MA-077	114.58	-62.17	145.225,144.225 MHz	467.64 km  EA6EE EA6APL EA6LU
EA7/GR-002	-165.66	13.39	145.250,144.250 MHz	541.29 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-159.8	18.97	145.350,144.350 MHz	490.11 km  EA7OM EA7JV
EA7/MA-013	-155.79	22.5	145.475 MHz	583.68 km  EC7ZT

## FROM EA1/SO-026 - Ministra (1311 msnm) [6 pts] grid: IN81sc
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-49.89	127.53	144.575 MHz	407.12 km  EA1FNT
EA1/BU-002	-26.26	153.24	145.475 MHz	140.32 km  EB2FDT
EA1/BU-004	-24.74	154.88	145.425 MHz	112.77 km  EB1ESK
EA1/BU-007	-29.89	149.56	145.325 MHz	137.14 km  EA1FWZ
EA1/BU-096	-3.01	176.91	144.620 MHz	183.58 km  EA2CON
EA1/CT-036	-38.78	139.74	144.560 MHz	287.82 km  EA2FHK
EA1/LR-004	-18.69	160.98	Cumbre en duda MHz	128.25 km  EA4IS
EA1/OU-001	-69.4	107.74	145.225,144.225 MHz	379.99 km  EA1FTW
EA1/PO-022	-71.63	104.23	145.350 MHz	537.44 km  EA1FMJ
EA1/SG-001	-103.05	75.98	145.300 MHz	127.31 km  EA4DON EA4DOS
EA1/SG-003	-97.19	81.91	144.540 MHz	115.51 km  EA4IPO
EA1/SG-005	-105.51	73.48	145.275,144.275 MHz	135.53 km  EA9ADD
EA1/SG-010	-104.0	74.91	145.325,144 MHz	144.52 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-108.09	70.81	144.660 MHz	148.96 km  EA4HFO EA4GVU
EA1/SO-003	34.82	-144.77	145.500 MHz	91.06 km  EA2ETB
EA1/SO-026	180.0	0.0	144.640 MHz	0.0 km  EA7RX
EA1/ZA-002	-69.04	108.29	145.250,144.250 MHz	355.57 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	-2.11	177.82	144.700 MHz	234.46 km  EA2DCA
EA2/HU-093	57.93	-120.13	144.760 MHz	283.04 km  EA4BQG
EA2/NV-003	30.04	-148.97	145.400 MHz	241.02 km  EA2EUS
EA2/NV-032	11.78	-167.87	144.680 MHz	208.25 km  EA2BD
EA2/NV-035	20.94	-158.34	144.720 MHz	242.36 km  EA2FDI
EA2/NV-148	15.21	-164.41	144.575 MHz	176.69 km  EA2CCG
EA2/VI-016	-2.27	177.66	144.580 MHz	217.7 km  EA2DXY
EA2/ZG-001	35.77	-143.81	145.450 MHz	91.8 km  EA2FED EA2FEG
EA3/BC-006	70.76	-106.41	145.350,144.350 MHz	373.18 km  EA3GRW
EA3/GI-014	70.17	-106.71	144.780 MHz	411.52 km  EA3O
EA3/LL-041	69.13	-108.2	144.775 MHz	354.06 km  EA3JHJ
EA3/LL-050	68.25	-109.59	144.700 MHz	289.83 km  EA3HIG
EA3/LL-051	69.5	-108.22	145.250 MHz	302.64 km  EA3IXK
EA3/TA-012	97.43	-80.71	144.680 MHz	240.69 km  EA3HQR EA3IQK
EA4/GU-002	-86.96	92.39	145.550,144.550 MHz	83.13 km  EA4HGT
EA4/GU-014	-81.63	97.77	145.400 MHz	77.16 km  EA4HIH
EA4/GU-050	-83.65	95.97	144.740 MHz	48.53 km  EA4AWF
EA4/GU-062	134.51	-45.37	144.720 MHz	22.39 km  EA4WT
EA4/MD-002	-105.73	73.32	145.525,144.525 MHz	126.93 km  EA4NB
EA4/MD-025	-106.09	73.26	145.225 MHz	87.28 km  EA4IIJ EA4GGU
EA4/MD-052	-109.15	69.85	144.520 MHz	137.08 km  EA4HNZ
EA4/MD-054	-103.98	75.23	144.560 MHz	103.77 km  EA4GUO
EA5/AT-010	149.25	-29.51	144.640 MHz	331.64 km  EA5ITW
EA5/AT-017	141.89	-36.55	144.620 MHz	342.74 km  EA5JTS
EA5/AT-020	142.19	-36.31	144.660 MHz	331.37 km  EA5JYX
EA5/MU-021	164.21	-15.11	144.780 MHz	343.6 km  EA5PY
EA6/MA-077	103.72	-72.64	145.225,144.225 MHz	492.66 km  EA6EE EA6APL EA6LU
EA7/GR-002	-170.13	9.31	145.250,144.250 MHz	457.37 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-163.57	15.61	145.350,144.350 MHz	402.87 km  EA7OM EA7JV
EA7/MA-013	-158.22	20.48	145.475 MHz	494.61 km  EC7ZT

## FROM EA1/ZA-002 - Vizcodillo (2120 msnm) [10 pts] grid: IN62re
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	6.0	-173.88	144.575 MHz	136.58 km  EA1FNT
EA1/BU-002	87.61	-90.19	145.475 MHz	269.94 km  EB2FDT
EA1/BU-004	92.3	-85.39	145.425 MHz	285.91 km  EB1ESK
EA1/BU-007	89.13	-88.73	145.325 MHz	263.82 km  EA1FWZ
EA1/BU-096	77.44	-99.92	144.620 MHz	327.19 km  EA2CON
EA1/CT-036	54.69	-124.08	144.560 MHz	180.14 km  EA2FHK
EA1/LR-004	88.45	-89.18	Cumbre en duda MHz	290.99 km  EA4IS
EA1/OU-001	-77.32	102.48	145.225,144.225 MHz	24.52 km  EA1FTW
EA1/PO-022	-79.33	99.19	145.350 MHz	182.93 km  EA1FMJ
EA1/SG-001	124.19	-54.11	145.300 MHz	259.98 km  EA4DON EA4DOS
EA1/SG-003	120.42	-57.81	144.540 MHz	259.52 km  EA4IPO
EA1/SG-005	126.39	-51.97	145.275,144.275 MHz	259.4 km  EA9ADD
EA1/SG-010	127.55	-50.89	145.325,144 MHz	251.18 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	129.66	-48.78	144.660 MHz	257.59 km  EA4HFO EA4GVU
EA1/SO-003	95.1	-81.79	145.500 MHz	387.59 km  EA2ETB
EA1/SO-026	108.29	-69.04	144.640 MHz	355.57 km  EA7RX
EA1/ZA-002	180.0	0.0	145.250,144.250 MHz	0.0 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	68.99	-108.36	144.700 MHz	340.6 km  EA2DCA
EA2/HU-093	84.99	-90.34	144.760 MHz	572.3 km  EA4BQG
EA2/NV-003	77.1	-99.17	145.400 MHz	459.89 km  EA2EUS
EA2/NV-032	75.74	-101.18	144.680 MHz	382.26 km  EA2BD
EA2/NV-035	73.98	-102.57	144.720 MHz	430.17 km  EA2FDI
EA2/NV-148	80.78	-96.12	144.575 MHz	380.82 km  EA2CCG
EA2/VI-016	71.71	-105.64	144.580 MHz	335.73 km  EA2DXY
EA2/ZG-001	95.1	-81.77	145.450 MHz	389.27 km  EA2FED EA2FEG
EA3/BC-006	87.65	-86.78	145.350,144.350 MHz	684.33 km  EA3GRW
EA3/GI-014	86.3	-87.83	144.780 MHz	719.2 km  EA3O
EA3/LL-041	87.39	-87.21	144.775 MHz	662.83 km  EA3JHJ
EA3/LL-050	89.19	-85.93	144.700 MHz	601.52 km  EA3HIG
EA3/LL-051	89.28	-85.72	145.250 MHz	615.85 km  EA3IXK
EA3/TA-012	102.83	-72.63	144.680 MHz	592.26 km  EA3HQR EA3IQK
EA4/GU-002	113.58	-64.4	145.550,144.550 MHz	277.66 km  EA4HGT
EA4/GU-014	111.73	-66.2	145.400 MHz	280.78 km  EA4HIH
EA4/GU-050	110.57	-67.14	144.740 MHz	308.85 km  EA4AWF
EA4/GU-062	109.65	-67.55	144.720 MHz	376.21 km  EA4WT
EA4/MD-002	124.93	-53.36	145.525,144.525 MHz	264.87 km  EA4NB
EA4/MD-025	118.72	-59.28	145.225 MHz	290.71 km  EA4IIJ EA4GGU
EA4/MD-052	127.7	-50.65	144.520 MHz	265.82 km  EA4HNZ
EA4/MD-054	120.69	-57.44	144.560 MHz	276.96 km  EA4GUO
EA5/AT-010	126.77	-49.37	144.640 MHz	649.24 km  EA5ITW
EA5/AT-017	123.48	-52.33	144.620 MHz	673.03 km  EA5JTS
EA5/AT-020	123.36	-52.51	144.660 MHz	661.61 km  EA5JYX
EA5/MU-021	134.46	-42.26	144.780 MHz	625.01 km  EA5PY
EA6/MA-077	104.07	-69.6	145.225,144.225 MHz	846.58 km  EA6EE EA6APL EA6LU
EA7/GR-002	153.69	-24.31	145.250,144.250 MHz	630.88 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	154.37	-23.87	145.350,144.350 MHz	557.89 km  EA7OM EA7JV
EA7/MA-013	163.18	-15.56	145.475 MHz	604.84 km  EC7ZT

## FROM EA2/BI-009 - Oiz (1025 msnm) [4 pts] grid: IN83qf
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-84.75	92.68	144.575 MHz	303.95 km  EA1FNT
EA1/BU-002	-153.83	25.73	145.475 MHz	120.9 km  EB2FDT
EA1/BU-004	-163.77	15.92	145.425 MHz	137.41 km  EB1ESK
EA1/BU-007	-152.71	26.8	145.325 MHz	129.92 km  EA1FWZ
EA1/BU-096	-178.93	1.07	144.620 MHz	50.98 km  EA2CON
EA1/CT-036	-93.36	85.19	144.560 MHz	171.89 km  EA2FHK
EA1/LR-004	-164.02	15.72	Cumbre en duda MHz	117.39 km  EA4IS
EA1/OU-001	-106.2	70.95	145.225,144.225 MHz	361.26 km  EA1FTW
EA1/PO-022	-97.39	78.46	145.350 MHz	505.48 km  EA1FMJ
EA1/SG-001	-156.38	22.71	145.300 MHz	287.24 km  EA4DON EA4DOS
EA1/SG-003	-156.99	22.17	144.540 MHz	270.39 km  EA4IPO
EA1/SG-005	-155.79	23.24	145.275,144.275 MHz	296.75 km  EA9ADD
EA1/SG-010	-154.01	24.94	145.325,144 MHz	299.69 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-154.7	24.25	144.660 MHz	310.46 km  EA4HFO EA4GVU
EA1/SO-003	159.12	-20.38	145.500 MHz	170.67 km  EA2ETB
EA1/SO-026	177.82	-2.11	144.640 MHz	234.46 km  EA7RX
EA1/ZA-002	-108.36	68.99	145.250,144.250 MHz	340.6 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	180.0	0.0	144.700 MHz	0.0 km  EA2DCA
EA2/HU-093	108.59	-69.36	144.760 MHz	262.24 km  EA4BQG
EA2/NV-003	101.14	-77.78	145.400 MHz	131.78 km  EA2EUS
EA2/NV-032	120.69	-58.88	144.680 MHz	59.51 km  EA2BD
EA2/NV-035	94.69	-84.51	144.720 MHz	95.57 km  EA2FDI
EA2/NV-148	139.17	-40.37	144.575 MHz	84.21 km  EA2CCG
EA2/VI-016	179.89	-0.11	144.580 MHz	16.76 km  EA2DXY
EA2/ZG-001	158.63	-20.86	145.450 MHz	171.51 km  EA2FED EA2FEG
EA3/BC-006	107.03	-70.0	145.350,144.350 MHz	377.65 km  EA3GRW
EA3/GI-014	103.34	-73.4	144.780 MHz	406.81 km  EA3O
EA3/LL-041	107.57	-69.64	144.775 MHz	356.22 km  EA3JHJ
EA3/LL-050	114.45	-63.27	144.700 MHz	305.36 km  EA3HIG
EA3/LL-051	113.62	-63.99	145.250 MHz	318.99 km  EA3IXK
EA3/TA-012	136.93	-41.1	144.680 MHz	362.74 km  EA3HQR EA3IQK
EA4/GU-002	-162.14	17.27	145.550,144.550 MHz	241.61 km  EA4HGT
EA4/GU-014	-163.18	16.28	145.400 MHz	233.12 km  EA4HIH
EA4/GU-050	-170.25	9.43	144.740 MHz	232.33 km  EA4AWF
EA4/GU-062	174.31	-5.49	144.720 MHz	251.2 km  EA4WT
EA4/MD-002	-157.15	21.95	145.525,144.525 MHz	291.7 km  EA4NB
EA4/MD-025	-163.84	15.57	145.225 MHz	269.21 km  EA4IIJ EA4GGU
EA4/MD-052	-156.66	22.39	144.520 MHz	304.28 km  EA4HNZ
EA4/MD-054	-160.52	18.75	144.560 MHz	275.22 km  EA4GUO
EA5/AT-010	160.98	-17.68	144.640 MHz	549.02 km  EA5ITW
EA5/AT-017	156.31	-22.03	144.620 MHz	549.94 km  EA5JTS
EA5/AT-020	156.79	-21.6	144.660 MHz	539.38 km  EA5JYX
EA5/MU-021	169.67	-9.56	144.780 MHz	574.09 km  EA5PY
EA6/MA-077	125.66	-50.55	145.225,144.225 MHz	600.48 km  EA6EE EA6APL EA6LU
EA7/GR-002	-174.25	5.25	145.250,144.250 MHz	688.44 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-170.43	8.8	145.350,144.350 MHz	629.58 km  EA7OM EA7JV
EA7/MA-013	-165.9	12.84	145.475 MHz	715.3 km  EC7ZT

## FROM EA2/HU-093 - Cervín (1682 msnm) [6 pts] grid: JN02fk
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-76.53	98.87	144.575 MHz	562.38 km  EA1FNT
EA1/BU-002	-92.67	84.86	145.475 MHz	302.89 km  EB2FDT
EA1/BU-004	-97.52	80.14	145.425 MHz	290.99 km  EB1ESK
EA1/BU-007	-93.86	83.62	145.325 MHz	309.75 km  EA1FWZ
EA1/BU-096	-80.5	97.45	144.620 MHz	251.64 km  EA2CON
EA1/CT-036	-78.03	98.49	144.560 MHz	426.53 km  EA2FHK
EA1/LR-004	-93.9	83.8	Cumbre en duda MHz	282.39 km  EA4IS
EA1/OU-001	-89.62	85.51	145.225,144.225 MHz	595.71 km  EA1FTW
EA1/PO-022	-86.55	87.28	145.350 MHz	750.05 km  EA1FMJ
EA1/SG-001	-114.25	62.83	145.300 MHz	405.53 km  EA4DON EA4DOS
EA1/SG-003	-112.98	64.17	144.540 MHz	390.86 km  EA4IPO
EA1/SG-005	-114.78	62.26	145.275,144.275 MHz	414.75 km  EA9ADD
EA1/SG-010	-114.04	62.92	145.325,144 MHz	422.82 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-115.31	61.64	144.660 MHz	429.09 km  EA4HFO EA4GVU
EA1/SO-003	-109.96	68.51	145.500 MHz	202.47 km  EA2ETB
EA1/SO-026	-120.13	57.93	144.640 MHz	283.04 km  EA7RX
EA1/ZA-002	-90.34	84.99	145.250,144.250 MHz	572.3 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	-69.36	108.59	144.700 MHz	262.24 km  EA2DCA
EA2/HU-093	180.0	0.0	144.760 MHz	0.0 km  EA4BQG
EA2/NV-003	-61.96	117.07	145.400 MHz	132.68 km  EA2EUS
EA2/NV-032	-72.86	105.52	144.680 MHz	204.44 km  EA2BD
EA2/NV-035	-61.64	117.1	144.720 MHz	171.02 km  EA2FDI
EA2/NV-148	-82.08	96.33	144.575 MHz	194.52 km  EA2CCG
EA2/VI-016	-72.9	105.05	144.580 MHz	257.36 km  EA2DXY
EA2/ZG-001	-110.21	68.27	145.450 MHz	201.02 km  EA2FED EA2FEG
EA3/BC-006	105.56	-73.53	145.350,144.350 MHz	115.73 km  EA3GRW
EA3/GI-014	96.06	-82.74	144.780 MHz	147.63 km  EA3O
EA3/LL-041	106.8	-72.47	144.775 MHz	94.13 km  EA3JHJ
EA3/LL-050	147.54	-32.23	144.700 MHz	51.93 km  EA3HIG
EA3/LL-051	137.37	-42.29	145.250 MHz	62.17 km  EA3IXK
EA3/TA-012	-177.7	2.24	144.680 MHz	181.37 km  EA3HQR EA3IQK
EA4/GU-002	-112.37	65.03	145.550,144.550 MHz	354.28 km  EA4HGT
EA4/GU-014	-111.79	65.66	145.400 MHz	345.41 km  EA4HIH
EA4/GU-050	-114.76	62.91	144.740 MHz	322.48 km  EA4AWF
EA4/GU-062	-124.61	53.57	144.720 MHz	278.69 km  EA4WT
EA4/MD-002	-115.08	62.02	145.525,144.525 MHz	406.41 km  EA4NB
EA4/MD-025	-116.38	61.02	145.225 MHz	367.73 km  EA4IIJ EA4GGU
EA4/MD-052	-115.92	61.13	144.520 MHz	417.77 km  EA4HNZ
EA4/MD-054	-115.3	61.97	144.560 MHz	383.04 km  EA4GUO
EA5/AT-010	-168.92	10.45	144.640 MHz	440.85 km  EA5ITW
EA5/AT-017	-174.24	5.45	144.620 MHz	420.8 km  EA5JTS
EA5/AT-020	-173.0	6.62	144.660 MHz	413.62 km  EA5JYX
EA5/MU-021	-161.17	17.64	144.780 MHz	502.62 km  EA5PY
EA6/MA-077	140.1	-38.13	145.225,144.225 MHz	358.14 km  EA6EE EA6APL EA6LU
EA7/GR-002	-150.19	27.38	145.250,144.250 MHz	679.89 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-144.7	32.6	145.350,144.350 MHz	642.77 km  EA7OM EA7JV
EA7/MA-013	-143.31	33.51	145.475 MHz	742.14 km  EC7ZT

## FROM EA2/NV-003 - Ori (2019 msnm) [10 pts] grid: IN92lx
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-81.89	94.47	144.575 MHz	435.25 km  EA1FNT
EA1/BU-002	-113.38	65.11	145.475 MHz	200.6 km  EB2FDT
EA1/BU-004	-121.33	57.28	145.425 MHz	198.64 km  EB1ESK
EA1/BU-007	-114.4	64.04	145.325 MHz	209.2 km  EA1FWZ
EA1/BU-096	-100.0	78.91	144.620 MHz	132.72 km  EA2CON
EA1/CT-036	-85.99	91.49	144.560 MHz	301.28 km  EA2FHK
EA1/LR-004	-117.32	61.34	Cumbre en duda MHz	183.72 km  EA4IS
EA1/OU-001	-97.91	78.16	145.225,144.225 MHz	482.13 km  EA1FTW
EA1/PO-022	-92.52	82.26	145.350 MHz	631.81 km  EA1FMJ
EA1/SG-001	-133.14	44.89	145.300 MHz	340.91 km  EA4DON EA4DOS
EA1/SG-003	-132.48	45.62	144.540 MHz	324.23 km  EA4IPO
EA1/SG-005	-133.26	44.71	145.275,144.275 MHz	350.85 km  EA9ADD
EA1/SG-010	-132.04	45.86	145.325,144 MHz	356.94 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-133.19	44.71	144.660 MHz	365.71 km  EA4HFO EA4GVU
EA1/SO-003	-151.86	27.57	145.500 MHz	150.47 km  EA2ETB
EA1/SO-026	-148.97	30.04	144.640 MHz	241.02 km  EA7RX
EA1/ZA-002	-99.17	77.1	145.250,144.250 MHz	459.89 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	-77.78	101.14	144.700 MHz	131.78 km  EA2DCA
EA2/HU-093	117.07	-61.96	144.760 MHz	132.68 km  EA4BQG
EA2/NV-003	180.0	0.0	145.400 MHz	0.0 km  EA2EUS
EA2/NV-032	-92.51	86.83	144.680 MHz	78.27 km  EA2BD
EA2/NV-035	-61.51	118.2	144.720 MHz	38.35 km  EA2FDI
EA2/NV-148	-116.18	63.19	144.575 MHz	83.52 km  EA2CCG
EA2/VI-016	-85.07	93.85	144.580 MHz	129.55 km  EA2DXY
EA2/ZG-001	-152.47	26.97	145.450 MHz	149.96 km  EA2FED EA2FEG
EA3/BC-006	111.25	-66.86	145.350,144.350 MHz	246.94 km  EA3GRW
EA3/GI-014	105.48	-72.34	144.780 MHz	275.18 km  EA3O
EA3/LL-041	112.4	-65.89	144.775 MHz	225.75 km  EA3JHJ
EA3/LL-050	125.25	-53.55	144.700 MHz	179.71 km  EA3HIG
EA3/LL-051	123.2	-55.48	145.250 MHz	192.45 km  EA3IXK
EA3/TA-012	154.77	-24.33	144.680 MHz	267.2 km  EA3HQR EA3IQK
EA4/GU-002	-134.08	44.26	145.550,144.550 MHz	288.43 km  EA4HGT
EA4/GU-014	-134.07	44.33	145.400 MHz	278.89 km  EA4HIH
EA4/GU-050	-139.28	39.34	144.740 MHz	264.29 km  EA4AWF
EA4/GU-062	-153.99	25.14	144.720 MHz	247.57 km  EA4WT
EA4/MD-002	-134.03	44.02	145.525,144.525 MHz	343.57 km  EA4NB
EA4/MD-025	-137.71	40.64	145.225 MHz	309.9 km  EA4IIJ EA4GGU
EA4/MD-052	-134.39	43.6	144.520 MHz	356.22 km  EA4HNZ
EA4/MD-054	-135.56	42.65	144.560 MHz	321.9 km  EA4GUO
EA5/AT-010	175.31	-4.39	144.640 MHz	496.04 km  EA5ITW
EA5/AT-017	170.2	-9.18	144.620 MHz	486.82 km  EA5JTS
EA5/AT-020	171.02	-8.42	144.660 MHz	477.57 km  EA5JYX
EA5/MU-021	-176.15	3.58	144.780 MHz	539.94 km  EA5PY
EA6/MA-077	133.22	-44.05	145.225,144.225 MHz	483.68 km  EA6EE EA6APL EA6LU
EA7/GR-002	-162.22	16.26	145.250,144.250 MHz	688.63 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-157.5	20.7	145.350,144.350 MHz	639.63 km  EA7OM EA7JV
EA7/MA-013	-154.53	23.19	145.475 MHz	733.95 km  EC7ZT

## FROM EA2/NV-032 - Artxueta (1343 msnm) [4 pts] grid: IN92aw
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-80.24	96.77	144.575 MHz	358.6 km  EA1FNT
EA1/BU-002	-126.37	52.77	145.475 MHz	130.48 km  EB2FDT
EA1/BU-004	-138.16	41.1	145.425 MHz	135.42 km  EB1ESK
