# BEARINGS

## FROM EA1/AT-186 - Los Gayos de la Cuerva (844 msnm) [4 pts] grid: IN63uk
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA4/GU-002	-160.3	19.42	145.550,144.550 MHz	104.34 km  EA4HGT
EA4/GU-014	-162.65	17.12	145.400 MHz	95.73 km  EA4HIH
EA4/GU-050	-179.76	0.23	144.740 MHz	97.05 km  EA4AWF
EA4/GU-062	151.48	-28.01	144.720 MHz	133.94 km  EA4WT
EA4/MD-002	-151.65	27.77	145.525,144.525 MHz	156.01 km  EA4NB
EA4/MD-025	-164.22	15.49	145.225 MHz	131.8 km  EA4IIJ EA4GGU
EA4/MD-052	-151.19	28.17	144.520 MHz	168.79 km  EA4HNZ
EA4/MD-054	-157.61	21.98	144.560 MHz	138.26 km  EA4GUO
EA5/AT-010	150.39	-27.98	144.640 MHz	443.95 km  EA5ITW
EA5/AT-017	144.8	-33.25	144.620 MHz	453.2 km  EA5JTS
EA5/AT-020	145.11	-33.0	144.660 MHz	441.95 km  EA5JYX
EA5/MU-021	161.63	-17.32	144.780 MHz	455.33 km  EA5PY
EA6/MA-077	112.24	-63.71	145.225,144.225 MHz	569.67 km  EA6EE EA6APL EA6LU
EA7/GR-002	-177.14	2.66	145.250,144.250 MHz	553.89 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-172.59	6.95	145.350,144.350 MHz	493.36 km  EA7OM EA7JV
EA7/MA-013	-166.72	12.33	145.475 MHz	578.02 km  EC7ZT

## FROM EA1/BU-007 - Mencilla (1932 msnm) [8 pts] grid: IN82ie
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-60.0	117.95	144.575 MHz	282.17 km  EA1FNT
EA1/BU-002	41.46	-138.49	145.475 MHz	9.35 km  EB2FDT
EA1/BU-004	127.4	-52.42	145.425 MHz	26.81 km  EB1ESK
EA1/BU-007	180.0	0.0	145.325 MHz	0.0 km  EA1FWZ
EA1/BU-096	41.77	-137.75	144.620 MHz	87.14 km  EA2CON
EA1/CT-036	-47.25	131.81	144.560 MHz	153.79 km  EA2FHK
EA1/LR-004	84.03	-95.75	Cumbre en duda MHz	27.36 km  EA4IS
EA1/OU-001	-87.58	90.08	145.225,144.225 MHz	287.71 km  EA1FTW
EA1/PO-022	-84.0	92.37	145.350 MHz	444.56 km  EA1FMJ
EA1/SG-001	-159.88	19.7	145.300 MHz	157.8 km  EA4DON EA4DOS
EA1/SG-003	-161.41	18.23	144.540 MHz	141.16 km  EA4IPO
EA1/SG-005	-158.67	20.85	145.275,144.275 MHz	167.16 km  EA9ADD
EA1/SG-010	-155.5	23.95	145.325,144 MHz	169.83 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-156.62	22.82	144.660 MHz	180.67 km  EA4HFO EA4GVU
EA1/SO-003	109.6	-69.43	145.500 MHz	128.16 km  EA2ETB
EA1/SO-026	149.56	-29.89	144.640 MHz	137.14 km  EA7RX
EA1/ZA-002	-88.73	89.13	145.250,144.250 MHz	263.82 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	26.8	-152.71	144.700 MHz	129.92 km  EA2DCA
